,round,load,period,duration_elog,energy_elog,power_avg_elog,duration_sig,energy_sig,power_avg_sig
127,26,15,0.05,79.960036,191.97885116141407,2.400935026610219,80.021,264.5443000000093,3.305935941815389
128,24,70,0.03,79.979997,241.94185006302428,3.0250294966005598,80.029,318.20677499999965,3.976143335540862
129,34,15,0.1,79.91006200000001,193.09075622368402,2.4163509749708867,80.022,266.87022500000603,3.334960698308041
130,14,80,0.04,79.999997,248.42835287153542,3.105354527344988,80.032,325.62459999999703,4.068680027988767
131,2,0,0.5,79.510749,157.4114862760238,1.9797510180167437,80.026,201.0426249999985,2.5122163421887707
132,32,0,0.5,79.510412,154.0850111125945,1.9379224335121603,80.026,200.4058750000012,2.5042595531452427
133,22,10,0.03,79.980773,188.7053569951173,2.3593840108936845,80.022,262.7435249999985,3.283391129939248
134,20,50,0.03,79.979997,220.98475796829226,2.76300032829824,80.022,300.4409999999971,3.754480017995015
135,17,50,0.1,79.910414,223.94074325447636,2.802397485445093,80.022,297.142849999994,3.713264477268676
136,14,5,2.0,79.51074200000001,175.16010642480254,2.202974114174441,80.021,239.38777500002408,2.991561902500895
137,9,90,0.1,79.910717,255.91563532281268,3.202519573473639,80.029,332.32597500000026,4.1525693810993545
138,27,30,2.0,79.510172,202.87886528219187,2.5516089347938005,80.104,275.8672999999976,3.443864226505513
139,28,40,2.0,79.509817,211.27438957524384,2.6572113676886446,80.071,285.7727499999896,3.568991894693329
140,9,60,0.2,79.910847,233.46168556810338,2.9215268556483123,80.039,306.3351249999902,3.8273232424191983
141,4,70,0.03,79.9766,247.50109987345917,3.094668939082921,80.022,321.59220000000096,4.01879733073406
142,23,5,0.03,79.979996,182.34733219883276,2.279911744417101,80.022,252.68102500000177,3.157644460273447
143,35,80,1.0,79.510707,254.54168507331104,3.201351046637166,80.023,323.1768499999954,4.038549542006615
144,17,50,0.04,80.036041,222.54140973660324,2.7805149649593894,80.066,299.1672249999936,3.736507693652657
145,27,90,0.03,79.979998,255.4806870063925,3.1943072442486495,80.028,334.7138500000062,4.182459264257587
146,5,5,0.05,79.960583,186.17747582495267,2.3283656626784808,80.022,256.7739750000045,3.208792269625909
147,31,70,0.05,79.95989399999999,243.24124776821782,3.042040648130647,80.043,319.88324999999827,3.99639256399683
148,32,10,2.0,79.510175,182.8716457129095,2.299977904877074,80.022,254.7709250000219,3.183761028217514
149,18,5,0.04,79.957865,180.3733140054962,2.255854555464884,80.022,248.62437500000595,3.1069502761741266
150,28,10,2.0,79.51026800000001,181.8524432580198,2.2871567136211866,80.489,256.00662500002323,3.1806411435105817
151,26,5,0.2,79.910518,181.7130852790979,2.2739570437911305,80.023,252.48242500003232,3.1551232145762134
152,13,40,0.1,79.910378,213.27234344221657,2.6688941884646895,80.024,288.3581999999946,3.603396481055616
153,8,50,0.2,79.910293,222.72642240908795,2.7872056783609587,80.07,293.2602499999881,3.662548395154092
154,13,20,0.1,79.91082499999999,197.89874349474903,2.476494811494551,80.022,271.34020000000595,3.390820024493338
155,26,80,2.0,79.51001799999999,253.7183759342606,3.1910240032175645,80.029,322.35387500000394,4.027963300803508
156,6,15,0.5,79.510296,191.47694621781147,2.4082031617365818,80.022,260.19492500000285,3.2515423883432413
157,30,20,0.03,79.979996,200.33465862167492,2.504809560401515,80.023,275.2415999999931,3.439531134798659
158,13,20,0.5,79.51078,194.9957491100845,2.4524441731056403,80.022,268.92932500000666,3.3606923720977564
159,26,100,0.2,79.910427,264.95611862744744,3.315663907382793,80.025,339.51675000001984,4.242633552015243
160,12,30,0.04,79.959999,206.64280631581303,2.5843272748891986,80.022,281.12252499999545,3.513065469495832
161,29,20,0.1,79.909979,197.51226668175426,2.471684627545131,80.022,270.95890000000475,3.386055084851725
162,35,15,0.1,79.91022699999999,194.13463789015557,2.4294091654896137,80.023,265.5545000000049,3.318477187808566
163,1,0,0.04,79.96,153.71758185199505,1.9224309886442603,80.026,200.7584000000004,2.508664683977712
164,24,5,0.05,79.96016999999999,182.5513213660789,2.28302817973097,80.021,252.8839750000035,3.1602201297159933
165,14,15,0.05,79.97651400000001,194.2922464724702,2.4293662821121482,80.023,267.3116250000068,3.3404349374555657
166,21,20,0.05,80.010292,199.89910823408914,2.4984174315235483,80.092,273.3846250000056,3.4133824227139486
167,17,40,2.0,79.51147399999999,212.57096267220436,2.6734627340980293,80.055,285.018149999994,3.56027918306157
168,31,20,0.03,79.979997,201.38870493525425,2.5179884032160476,80.022,275.58487499999245,3.4438638749342987
169,32,40,0.2,79.910131,215.52844543780625,2.6971354287706806,80.06,288.1433999999921,3.5990931801148154
170,10,15,0.04,79.95999599999999,194.41257650040612,2.431373014330893,80.022,269.6526250000029,3.369731136437516
171,17,70,0.5,79.510802,241.736245233121,3.040294389599051,80.027,313.6473000000008,3.919268496882312
172,20,60,1.0,79.511236,229.4718804077493,2.88603085490646,80.023,304.45219999999813,3.804558689376781
173,17,15,0.04,79.999996,192.82131846630008,2.410266601342081,80.046,266.16792500000685,3.3251870799291265
174,4,60,0.1,79.91033800000001,233.97200162871795,2.927931572867555,80.045,308.8347749999968,3.858264413767216
175,17,50,0.2,79.912018,221.98837965687147,2.777909821484817,80.02,297.4893749999975,3.717687765558579
176,26,15,0.5,79.511215,194.29912769634865,2.4436694584072023,80.021,261.1795250000137,3.2638872920859985
177,12,90,0.2,79.910381,256.77566112309904,3.2132954180646323,80.03,330.4416250000056,4.1289719480195615
178,10,60,1.0,79.510186,232.64095186537523,2.925926394705896,80.022,305.34102500000165,3.815713491289916
179,22,30,0.5,79.510458,203.49370664491326,2.5593325930145348,80.022,276.51812499999613,3.455526292769441
180,31,30,2.0,79.51041,200.97812167222554,2.5276957026410196,80.11,279.11242499999304,3.484114654849495
181,4,10,0.1,79.91074800000001,190.4255216546855,2.3829775896314405,80.021,261.503675000006,3.267938103747841
182,21,70,0.03,79.979997,241.154837115794,3.015189374360617,80.026,319.2353500000004,3.989145402744113
183,31,20,1.0,79.510155,195.926094885113,2.464164418810566,80.182,269.6889250000048,3.3634596917014385
184,26,60,0.04,79.959996,232.0769488733923,2.9024132126443862,80.022,307.973324999994,3.848608195246232
185,20,0,0.05,79.96036,152.0233881964805,1.9012344141081972,80.026,198.0814750000076,2.4752139929523853
186,15,100,1.0,79.51018599999999,255.49744078366703,3.2133925681379623,80.023,338.88617500000873,4.234859665346322
187,6,50,0.2,79.910439,225.02329663327927,2.815943692078569,80.03,292.7750499999985,3.658316256403829
188,2,10,2.0,79.51017599999999,180.45193266859442,2.2695451292749556,80.022,252.94227500000272,3.1609091874734787
189,21,15,0.2,79.910556,193.42877435482137,2.4205659932440136,80.022,263.5880000000018,3.2939441653545503
190,4,70,0.2,79.910004,242.19787650201962,3.0308830481602733,80.042,318.402274999997,3.977940018989993
191,4,70,0.04,79.99615,244.03423283709057,3.050574719372002,80.039,319.44932499999203,3.991170866702383
192,23,50,1.0,79.510342,216.46230008312926,2.7224420702797287,80.043,291.8518499999989,3.6461882987893866
193,31,30,0.2,79.910515,220.4625359339339,2.7588676650868025,80.023,280.918424999993,3.510471052072442
194,31,5,0.04,79.959997,181.83559367623164,2.2740820472545997,80.023,250.9559750000066,3.1360480736789
195,27,70,0.1,80.010385,239.44890496990004,2.992722819292771,80.048,316.6696499999958,3.955997026783877
196,1,20,1.0,79.51056200000001,191.78348637439697,2.4120504439950627,80.023,270.3774249999996,3.3787464229034105
197,18,5,0.05,79.960792,182.49369921853653,2.28228979045801,80.021,253.07745000001916,3.1626379325429466
198,18,50,0.1,79.910425,222.1237639058003,2.779659398705492,80.022,297.2852249999945,3.715043675489172
199,11,15,0.5,79.510628,194.7340689261883,2.4491577267656384,80.021,266.6438750000055,3.332173741892821
200,2,30,0.04,79.959997,209.48158901160645,2.619829875826614,80.021,285.1878250000015,3.5639122855250687
201,4,15,2.0,79.510736,184.34146417654492,2.318447463202264,80.022,263.0526000000081,3.287253505286148
202,21,20,0.03,79.979996,198.77190655522725,2.485270273772297,80.021,273.9011749999944,3.4228661851263342
203,34,30,0.1,79.910212,205.54578184964882,2.5722091921073718,80.026,279.182674999995,3.4886496263713678
204,14,80,0.05,79.96043499999999,248.58255153295505,3.108819399656281,80.029,325.072350000005,4.061931924677367
205,16,0,0.05,79.96718999999999,151.66124642038352,1.8965434001167671,80.026,197.21287500000844,2.4643600204934453
206,10,50,0.04,79.959996,224.52085850805935,2.8079148291610636,80.022,300.37634999999784,3.7536721151683015
207,6,10,0.04,79.959997,191.6532843381216,2.39686457639714,80.023,265.3094999999905,3.3154155680240747
208,4,10,2.0,79.50987500000001,184.03707680219574,2.3146442728302077,80.022,256.93405000000536,3.2107926570193865
209,20,15,0.03,79.977555,194.0922412400191,2.426833894084648,80.022,267.4881750000045,3.3426829496888923
210,19,80,0.2,79.910703,252.58407100116028,3.1608290444042306,80.023,321.8568250000043,4.022053971983108
211,22,20,0.1,79.910229,200.54567203089206,2.509637058240592,80.022,272.30620000000255,3.4028917047812173
212,1,20,0.2,79.91009899999999,199.65681738998708,2.4985179581617976,80.023,271.94154999999904,3.398292365944779
213,24,30,0.03,79.979997,207.38119900479722,2.5929133131224953,80.022,284.2918749999989,3.552671452850453
214,25,40,0.04,79.959997,214.6884099323256,2.684947698688953,80.022,290.1339999999963,3.625677938566848
215,8,0,0.2,79.91061699999999,151.9555966442111,1.9015695579501173,80.026,196.44210000001135,2.454728463249586
216,9,0,0.2,79.910548,152.70439594085516,1.9109416686875325,80.025,197.52857500000607,2.468335832552403
217,30,50,0.04,79.959996,225.6669669884086,2.822248352643847,80.022,300.7979750000088,3.7589409787309593
218,34,80,0.05,79.96085099999999,248.16647833079065,3.1035997644746263,80.036,324.4912000000005,4.0543155579989065
219,11,5,0.1,79.91067799999999,180.9336652779116,2.264198850595556,80.022,248.94232500002667,3.11092355852174
220,1,90,0.03,79.979998,260.7473511420688,3.2601570100322936,80.028,339.1333000000029,4.237683060928712
221,24,0,0.1,79.910183,152.78108317818723,1.9119100650562548,80.027,198.71732500000684,2.4831285066290985
222,26,40,0.05,79.960309,214.5299482448987,2.6829554678796788,80.023,289.1630999999971,3.613499868787687
223,10,5,0.05,79.960223,179.9499949819535,2.250493910978131,80.022,247.2437500000086,3.089697208267834
224,31,80,1.0,79.509968,256.4073958864101,3.224845919777129,80.035,325.0795499999977,4.061717373649
225,7,0,1.0,79.51064699999999,152.25471274549312,1.9148971677402291,80.025,198.39682500000623,2.479185567010388
226,24,90,0.1,79.90999500000001,256.3411883340617,3.207873912819813,80.024,332.614925000003,4.156439630610854
227,19,15,0.04,79.959996,194.2796230208255,2.429710264378021,80.021,266.9987000000034,3.336607890428805
228,5,30,0.04,79.959998,208.62613874967525,2.6091313652818657,80.022,284.8381999999938,3.5594986378745066
229,29,40,0.05,80.059819,217.90925041591234,2.7218304155285726,80.093,291.7440749999968,3.642566453997188
230,17,30,2.0,79.51029000000001,229.43455380863432,2.8855957362076565,80.102,274.8789250000036,3.4316112581459084
231,12,60,0.2,79.912171,233.8597527249535,2.9264597594896213,80.022,305.51929999999504,3.817941316138
232,25,0,0.5,79.509583,153.27409789407142,1.9277437022160135,80.025,198.1519000000081,2.476124960949805
233,13,50,0.1,79.910403,221.8580656041444,2.7763352113759754,80.022,297.74292499999524,3.720763352577981
