index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,
184,55.227,0.92045,1756803406,5,0.46,2.3,0
185,55.525,0.925416667,1756803406,5,0.45,2.25,0
186,55.827,0.93045,1756803406,5,0.46,2.3,0
187,56.122,0.935366667,1756803407,5,0.46,2.3,0
188,56.427,0.94045,1756803407,5,0.46,2.3,0
189,56.726,0.945433333,1756803407,5,0.46,2.3,0
190,57.027,0.95045,1756803407,5,0.46,2.3,0
191,57.327,0.95545,1756803408,5,0.46,2.3,0
192,57.627,0.96045,1756803408,5,0.45,2.25,0
193,57.927,0.96545,1756803408,5,0.46,2.3,0
194,58.227,0.97045,1756803409,5,0.47,2.35,0
195,58.525,0.975416667,1756803409,5,0.46,2.3,0
196,58.825,0.980416667,1756803409,5,0.46,2.3,0
197,59.126,0.985433333,1756803410,5,0.46,2.3,0
198,59.427,0.99045,1756803410,5,0.46,2.3,0
199,59.727,0.99545,1756803410,5,0.46,2.3,0
200,60.023,1.000383333,1756803410,5,0.46,2.3,0
201,60.325,1.005416667,1756803411,5,0.46,2.3,0
202,60.627,1.01045,1756803411,5,0.46,2.3,0
203,60.924,1.0154,1756803411,5,0.46,2.3,0
204,61.223,1.020383333,1756803412,5,0.46,2.3,0
205,61.527,1.02545,1756803412,5,0.46,2.3,0
206,61.825,1.030416667,1756803412,5,0.46,2.3,0
207,62.122,1.035366667,1756803413,5,0.45,2.25,0
208,62.424,1.0404,1756803413,5,0.45,2.25,0
209,62.726,1.045433333,1756803413,5,0.46,2.3,0
210,63.027,1.05045,1756803413,5,0.46,2.3,0
211,63.327,1.05545,1756803414,5,0.46,2.3,0
212,63.627,1.06045,1756803414,5,0.46,2.3,0
213,63.924,1.0654,1756803414,5,0.46,2.3,0
214,64.227,1.07045,1756803415,5,0.46,2.3,0
215,64.526,1.075433333,1756803415,5,0.52,2.6,25
216,64.827,1.08045,1756803415,5,0.68,3.4,25
217,65.125,1.085416667,1756803416,5,0.68,3.4,25
218,65.425,1.090416667,1756803416,5,0.61,3.05,25
219,65.727,1.09545,1756803416,5,0.69,3.45,25
220,66.025,1.100416667,1756803416,5,0.69,3.45,25
221,66.327,1.10545,1756803417,5,0.68,3.4,25
222,66.628,1.110466667,1756803417,5,0.61,3.05,25
223,66.922,1.115366667,1756803417,5,0.6,3,25
224,67.225,1.120416667,1756803418,5,0.61,3.05,25
225,67.527,1.12545,1756803418,5,0.67,3.35,25
226,67.827,1.13045,1756803418,5,0.68,3.4,25
227,68.127,1.13545,1756803419,5,0.6,3,25
228,68.426,1.140433333,1756803419,5,0.6,3,25
229,68.725,1.145416667,1756803419,5,0.62,3.1,25
230,69.026,1.150433333,1756803419,5,0.66,3.3,25
231,69.324,1.1554,1756803420,5,0.68,3.4,25
232,69.627,1.16045,1756803420,5,0.58,2.9,25
233,69.926,1.165433333,1756803420,5,0.66,3.3,25
234,70.227,1.17045,1756803421,5,0.61,3.05,25
235,70.522,1.175366667,1756803421,5,0.61,3.05,25
