index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,SPD33.CH2_Voltage,SPD33.CH2_Current,SPD33.CH2_Power,,cpuload
128,38.417,0.640283333,1758013568,5,0.39,1.95,0,0,0,,
129,38.715,0.64525,1758013568,5,0.39,1.95,0,0,0,,
130,39.019,0.650316667,1758013569,5,0.39,1.95,0,0,0,,
131,39.317,0.655283333,1758013569,5,0.39,1.95,0,0,0,,
132,39.618,0.6603,1758013569,5,0.39,1.95,0,0,0,,
133,39.918,0.6653,1758013570,5,0.39,1.95,0,0,0,,
134,40.218,0.6703,1758013570,5,0.39,1.95,0,0,0,,
135,40.515,0.67525,1758013570,5,0.39,1.95,0,0,0,,
136,40.816,0.680266667,1758013570,5,0.39,1.95,0,0,0,,
137,41.116,0.685266667,1758013571,5,0.39,1.95,0,0,0,,
138,41.418,0.6903,1758013571,5,0.39,1.95,0,0,0,,
139,41.718,0.6953,1758013571,5,0.39,1.95,0,0,0,,
140,42.019,0.700316667,1758013572,5,0.38,1.9,0,0,0,,
141,42.319,0.705316667,1758013572,5,0.39,1.95,0,0,0,,
142,42.618,0.7103,1758013572,5,0.39,1.95,0,0,0,,
143,42.918,0.7153,1758013573,5,0.39,1.95,0,0,0,,
144,43.215,0.72025,1758013573,5,0.39,1.95,0,0,0,,
145,43.519,0.725316667,1758013573,5,0.39,1.95,0,0,0,,
146,43.817,0.730283333,1758013573,5,0.39,1.95,0,0,0,,
147,44.119,0.735316667,1758013574,5,0.44,2.2,0,0,0,,
148,44.415,0.74025,1758013574,5,0.39,1.95,0,0,0,,
149,44.717,0.745283333,1758013574,5,0.39,1.95,0,0,0,,
150,45.019,0.750316667,1758013575,5,0.39,1.95,0,0,0,,
151,45.318,0.7553,1758013575,5,0.38,1.9,0,0,0,,
152,45.617,0.760283333,1758013575,5,0.38,1.9,0,0,0,,
153,45.918,0.7653,1758013576,5,0.39,1.95,0,0,0,,
154,46.219,0.770316667,1758013576,5,0.38,1.9,0,0,0,,
155,46.519,0.775316667,1758013576,5,0.38,1.9,0,0,0,,
