,time,voltage,current,cpuload
892,1758017711.923,5,0.66,20.0
893,1758017712.214,5,0.74,20.0
894,1758017712.518,5,0.73,20.0
895,1758017712.814,5,0.74,20.0
896,1758017713.121,5,0.66,20.0
897,1758017713.418,5,0.73,20.0
898,1758017713.725,5,0.66,20.0
899,1758017714.018,5,0.66,20.0
900,1758017714.315,5,0.69,20.0
901,1758017714.619,5,0.75,20.0
902,1758017714.914,5,0.66,20.0
903,1758017715.221,5,0.75,20.0
904,1758017715.517,5,0.67,20.0
905,1758017715.82,5,0.75,20.0
906,1758017716.112,5,0.75,20.0
907,1758017716.419,5,0.63,20.0
908,1758017716.716,5,0.73,20.0
909,1758017717.018,5,0.66,20.0
910,1758017717.317,5,0.73,20.0
911,1758017717.617,5,0.66,20.0
912,1758017717.914,5,0.66,20.0
913,1758017718.224,5,0.73,20.0
914,1758017718.515,5,0.73,20.0
915,1758017718.823,5,0.66,20.0
916,1758017719.121,5,0.71,20.0
917,1758017719.42,5,0.68,20.0
918,1758017719.723,5,0.71,20.0
919,1758017720.019,5,0.75,20.0
920,1758017720.315,5,0.66,20.0
921,1758017720.621,5,0.66,20.0
922,1758017720.915,5,0.74,20.0
923,1758017721.221,5,0.66,20.0
924,1758017721.518,5,0.57,20.0
925,1758017721.818,5,0.57,20.0
926,1758017722.118,5,0.66,20.0
927,1758017722.419,5,0.66,20.0
928,1758017722.716,5,0.66,20.0
929,1758017723.016,5,0.74,20.0
930,1758017723.32,5,0.7,20.0
931,1758017723.618,5,0.75,20.0
932,1758017723.92,5,0.66,20.0
933,1758017724.217,5,0.72,20.0
934,1758017724.524,5,0.66,20.0
935,1758017724.834,5,0.66,20.0
936,1758017725.119,5,0.66,20.0
937,1758017725.416,5,0.72,20.0
938,1758017725.716,5,0.66,20.0
939,1758017726.026,5,0.72,20.0
940,1758017726.316,5,0.67,20.0
941,1758017726.622,5,0.74,20.0
942,1758017726.918,5,0.71,20.0
943,1758017727.22,5,0.71,20.0
944,1758017727.517,5,0.61,20.0
945,1758017727.822,5,0.66,20.0
946,1758017728.116,5,0.67,20.0
947,1758017728.417,5,0.74,20.0
948,1758017728.721,5,0.72,20.0
949,1758017729.021,5,0.66,20.0
950,1758017729.317,5,0.66,20.0
951,1758017729.614,5,0.74,20.0
952,1758017729.916,5,0.66,20.0
953,1758017730.216,5,0.73,20.0
954,1758017730.52,5,0.66,20.0
955,1758017730.822,5,0.68,20.0
956,1758017731.12,5,0.66,20.0
957,1758017731.433,5,0.66,20.0
958,1758017731.717,5,0.66,20.0
959,1758017732.017,5,0.73,20.0
960,1758017732.32,5,0.67,20.0
961,1758017732.62,5,0.69,20.0
962,1758017732.914,5,0.75,20.0
963,1758017733.215,5,0.67,20.0
964,1758017733.525,5,0.75,20.0
965,1758017733.818,5,0.75,20.0
966,1758017734.115,5,0.67,20.0
967,1758017734.416,5,0.66,20.0
968,1758017734.718,5,0.74,20.0
969,1758017735.018,5,0.66,20.0
970,1758017735.317,5,0.74,20.0
971,1758017735.621,5,0.69,20.0
972,1758017735.919,5,0.69,20.0
973,1758017736.219,5,0.66,20.0
974,1758017736.515,5,0.73,20.0
975,1758017736.82,5,0.66,20.0
976,1758017737.117,5,0.75,20.0
977,1758017737.417,5,0.66,20.0
978,1758017737.717,5,0.65,20.0
979,1758017738.02,5,0.65,20.0
980,1758017738.321,5,0.74,20.0
981,1758017738.618,5,0.66,20.0
982,1758017738.92,5,0.66,20.0
983,1758017739.215,5,0.72,20.0
984,1758017739.516,5,0.66,20.0
985,1758017739.816,5,0.7,20.0
986,1758017740.143,5,0.7,20.0
987,1758017740.418,5,0.71,20.0
988,1758017740.72,5,0.74,20.0
989,1758017741.021,5,0.74,20.0
990,1758017741.325,5,0.66,20.0
991,1758017741.619,5,0.73,20.0
992,1758017741.92,5,0.66,20.0
993,1758017742.22,5,0.68,20.0
994,1758017742.517,5,0.68,20.0
995,1758017742.823,5,0.75,20.0
996,1758017743.12,5,0.57,20.0
997,1758017743.42,5,0.66,20.0
998,1758017743.716,5,0.74,20.0
999,1758017744.023,5,0.66,20.0
1000,1758017744.319,5,0.74,20.0
1001,1758017744.622,5,0.74,20.0
1002,1758017744.919,5,0.68,20.0
