,round,load,period,start_time,id,channelId,exp_duration,end_time,experiment,duration,energy,power_avg,ID
102,16,10,0.0,1765722384267,1773,CH1,80021,1765722464288,stress-ng,80.021,253.37907500002467,3.1664072555957143,1014
103,3,5,0.0,1765565813072,243,CH1,80022,1765565893094,stress-ng,80.022,241.70850000002744,3.020525605458842,1016
104,33,0,0.0,1765924081563,3744,CH1,80026,1765924161589,stress-ng,80.026,205.2345749999954,2.564598692924742,1017
105,8,5,0.0,1765625678430,828,CH1,80026,1765625758456,stress-ng,80.026,237.3219750000069,2.9655608802140163,1021
106,27,90,0.0,1765862376440,3141,CH1,80028,1765862456468,stress-ng,80.028,329.42477499999865,4.116368958364555,1024
107,2,100,0.0,1765563971531,225,CH1,80025,1765564051556,stress-ng,80.025,341.4342750000241,4.266595126523263,1035
108,14,15,0.0,1765699359238,1548,CH1,80022,1765699439260,stress-ng,80.022,260.66770000001793,3.2574504511261644,1048
109,25,90,0.0,1765838429227,2907,CH1,80028,1765838509255,stress-ng,80.028,330.1345250000057,4.125237729294818,1049
110,1,90,0.0,1765551078249,99,CH1,80032,1765551158281,stress-ng,80.032,333.54105000000055,4.167596086565381,1055
111,35,100,0.0,1765959081794,4086,CH1,80029,1765959161823,stress-ng,80.029,339.25890000001203,4.239199540166839,1059
112,27,70,0.0,1765860534824,3123,CH1,80031,1765860614855,stress-ng,80.031,313.2950250000019,3.9146708775349786,1076
113,8,15,0.0,1765627520513,846,CH1,80022,1765627600535,stress-ng,80.022,258.8602250000162,3.2348632251132967,1080
114,32,60,0.0,1765919476808,3699,CH1,80023,1765919556831,stress-ng,80.023,304.1975999999992,3.8013771040825666,1086
115,26,20,0.0,1765843956938,2961,CH1,80023,1765844036961,stress-ng,80.023,267.1293499999985,3.338157154817971,1087
116,4,90,0.0,1765586996482,450,CH1,80026,1765587076508,stress-ng,80.026,333.415025000005,4.166333754030003,1089
117,25,0,0.0,1765828299017,2808,CH1,80026,1765828379043,stress-ng,80.026,206.2645249999942,2.5774688851122662,1096
118,35,40,0.0,1765953555998,4032,CH1,80065,1765953636063,stress-ng,80.065,285.00477499999243,3.5596674576905323,1098
119,28,15,0.0,1765866982023,3186,CH1,80025,1765867062048,stress-ng,80.025,259.56092500002575,3.243497969384889,1102
120,21,15,0.0,1765783170453,2367,CH1,80022,1765783250475,stress-ng,80.022,256.21310000000534,3.2017832596036757,1121
121,3,0,0.0,1765564892538,234,CH1,80026,1765564972564,stress-ng,80.026,208.3907749999988,2.604038375028101,1124
122,31,0,0.0,1765900136738,3510,CH1,80026,1765900216764,stress-ng,80.026,207.75967499999115,2.5961521880387766,1127
