,period,load,exp_duration,experiment,duration,energy,power_avg,ID
506,0.03,80,80035,stress-ng,80.03,314.96122499999626,3.9355394851930057,57
507,0.03,80,80034,stress-ng,80.028,315.69487499999906,3.9448052556605067,94
508,0.03,40,80022,stress-ng,80.011,281.94527499999964,3.523831410681027,111
509,0.03,100,80032,stress-ng,80.006,330.9609000000093,4.13670099742531,113
510,0.03,40,80074,stress-ng,80.073,280.8294499999976,3.507167834351125,119
511,0.03,20,80073,stress-ng,80.07,264.22070000000343,3.299871362557805,122
512,0.03,0,80026,stress-ng,80.017,192.4290499999899,2.4048520939299136,156
513,0.03,40,80023,stress-ng,80.017,280.95122499999724,3.5111441943586645,182
514,0.03,100,80026,stress-ng,80.022,331.05430000001246,4.137041063707636,188
515,0.03,0,80025,stress-ng,80.022,192.64569999999372,2.407409212466493,202
516,0.03,40,80022,stress-ng,80.013,280.61517500000303,3.507119780535701,217
517,0.03,0,80025,stress-ng,80.021,192.58477499999202,2.406677934542083,234
518,0.03,100,80026,stress-ng,80.017,331.331400000014,4.140762587950236,246
519,0.03,0,80025,stress-ng,80.018,192.8555749999905,2.410152403209159,257
520,0.03,0,80026,stress-ng,80.023,192.76037499999265,2.4088121540056315,276
521,0.03,20,80219,stress-ng,80.213,264.65392500000576,3.2993894381210747,278
522,0.03,60,80023,stress-ng,80.018,299.37869999999333,3.7413919368141335,281
523,0.03,80,80032,stress-ng,80.028,315.9138749999975,3.947541797870714,293
524,0.03,0,80025,stress-ng,80.002,192.35172499999055,2.4043364540885297,312
525,0.03,100,80025,stress-ng,80.017,331.0964750000186,4.137826649337248,313
526,0.03,80,80027,stress-ng,80.017,315.02862499999316,3.9370211954958716,317
527,0.03,0,80025,stress-ng,80.02,192.55992499998925,2.4063974631340823,331
528,0.03,20,80024,stress-ng,80.016,264.7362250000061,3.30854110427922,337
529,0.03,20,80023,stress-ng,80.015,263.69395000000895,3.295556458164206,340
530,0.03,40,80036,stress-ng,80.033,281.2997249999975,3.514796708857565,361
531,0.03,60,80023,stress-ng,80.018,300.06979999998975,3.750028743532577,362
532,0.03,40,80022,stress-ng,79.997,280.5485500000015,3.506988387064534,398
533,0.03,40,80021,stress-ng,80.015,282.3591999999963,3.528828344685325,408
534,0.03,100,80025,stress-ng,80.02,331.3794500000114,4.141207823044382,438
535,0.03,20,80022,stress-ng,79.995,264.5014500000017,3.3064747796737506,496
536,0.03,60,80023,stress-ng,80.02,299.91257499999534,3.747970194951204,509
537,0.03,100,80023,stress-ng,80.021,331.16355000000385,4.138458029767234,572
538,0.03,100,80025,stress-ng,80.016,331.0302000000079,4.137050089982102,576
539,0.03,0,80026,stress-ng,80.022,192.348599999993,2.403696483466959,600
540,0.03,80,80022,stress-ng,80.016,315.7550999999966,3.9461495200959384,605
541,0.03,60,80023,stress-ng,80.022,299.36854999999537,3.7410780785283464,624
542,0.03,100,80022,stress-ng,80.019,330.81575000000953,4.134214998937871,644
543,0.03,60,80022,stress-ng,80.015,300.4262499999941,3.754624132974994,650
544,0.03,60,80022,stress-ng,80.018,299.9559249999866,3.74860562623393,662
545,0.03,80,80023,stress-ng,80.017,315.467124999995,3.94250128097773,664
546,0.03,80,80034,stress-ng,80.031,315.4158249999996,3.94117060888905,702
547,0.03,0,80026,stress-ng,80.024,192.65424999999252,2.4074558882334363,734
548,0.03,100,80024,stress-ng,80.021,330.79067500000997,4.133798315442321,743
549,0.03,40,80023,stress-ng,80.017,281.42904999999456,3.5171157379056273,747
550,0.03,80,80031,stress-ng,80.008,315.83699999999953,3.947567743225672,757
551,0.03,20,80115,stress-ng,80.111,262.7161000000032,3.2794010810001524,777
552,0.03,20,80022,stress-ng,80.015,263.68797500000073,3.2954817846653843,783
553,0.03,20,80022,stress-ng,80.015,263.9739500000025,3.299055802037149,793
554,0.03,60,80038,stress-ng,80.032,299.91822499998983,3.7474788209714847,817
555,0.03,40,80022,stress-ng,80.014,281.02022499999913,3.5121381883170337,852
556,0.03,60,80021,stress-ng,80.016,299.75432499999636,3.746179826534647,853
557,0.03,20,80153,stress-ng,80.146,263.9024250000008,3.292771005415127,867
558,0.03,80,80026,stress-ng,80.023,316.05992500000656,3.9496135486048582,879
559,0.03,0,80025,stress-ng,80.022,192.97347499999015,2.4115052735496505,884
560,0.03,60,80022,stress-ng,80.019,299.15862499999537,3.7385948962120916,889
561,0.03,80,80027,stress-ng,80.017,315.459174999999,3.942401927090481,900
562,0.03,40,80098,stress-ng,80.09,281.3193249999964,3.512539955050523,965
563,0.03,20,80023,stress-ng,80.018,264.1055500000019,3.300576745232347,975
564,0.03,60,80022,stress-ng,80.016,298.53762499999544,3.7309741176764075,984
565,0.04,100,80032,stress-ng,80.026,330.7412750000124,4.132922737610432,18
566,0.04,60,80043,stress-ng,80.035,299.45539999999187,3.7415555694382694,23
567,0.04,20,80022,stress-ng,80.016,263.0827499999998,3.2878767996400695,24
568,0.04,100,80030,stress-ng,80.017,330.38115000001847,4.128886986515597,40
569,0.04,20,80068,stress-ng,80.059,263.0961000000028,3.286277620255097,47
570,0.04,0,80025,stress-ng,80.02,188.72660000000658,2.358492876780887,68
571,0.04,100,80023,stress-ng,80.023,330.21582500000795,4.126511440460967,72
572,0.04,40,80040,stress-ng,80.036,280.8168999999921,3.5086323654354548,123
573,0.04,40,80091,stress-ng,80.088,280.57229999999566,3.5033001198680913,130
574,0.04,80,80035,stress-ng,80.03,314.87937499999754,3.934516743721074,131
