,period,exp_duration,experiment,duration,energy,power_avg,ID
102,0.02,80022,stress-ng,80.018,265.3984250000167,3.316734047339557,42
103,0.02,80025,stress-ng,80.019,192.18347499998814,2.4017230282806348,446
104,0.02,80024,stress-ng,80.022,332.3458250000063,4.153180687810931,386
105,0.02,80026,stress-ng,80.019,192.72139999999084,2.408445494195014,591
106,0.02,80028,stress-ng,80.026,332.1739249999987,4.150825044360567,406
107,0.02,80023,stress-ng,80.014,301.6265749999916,3.7696724948133027,579
108,0.02,80026,stress-ng,80.022,196.3543249999956,2.453754280072925,18
109,0.02,80030,stress-ng,80.026,301.46387499999685,3.767074138404979,400
110,0.02,80033,stress-ng,80.021,316.02207500000026,3.9492392621936774,415
111,0.02,80022,stress-ng,80.02,282.859149999996,3.5348556610846793,93
112,0.02,80024,stress-ng,80.016,332.0724250000059,4.150075297440585,365
113,0.02,80056,stress-ng,80.049,300.20482499999105,3.7502632762431887,13
114,0.02,80034,stress-ng,80.027,316.46810000000033,3.9545166006472856,95
115,0.02,80025,stress-ng,80.019,192.7581249999947,2.4089044476936063,38
116,0.02,80025,stress-ng,80.024,192.79894999999303,2.4092640957711815,385
117,0.02,80029,stress-ng,80.005,316.2303000000028,3.9526317105181277,434
118,0.02,80023,stress-ng,80.018,300.6312499999958,3.7570452898097404,14
119,0.02,80023,stress-ng,80.018,332.0726750000039,4.14997469319408,370
120,0.03,80032,stress-ng,80.028,315.9138749999975,3.947541797870714,280
121,0.03,80025,stress-ng,80.017,331.0964750000186,4.137826649337248,593
122,0.03,80032,stress-ng,80.006,330.9609000000093,4.13670099742531,234
123,0.03,80023,stress-ng,80.022,299.36854999999537,3.7410780785283464,321
124,0.03,80021,stress-ng,80.016,299.75432499999636,3.746179826534647,284
125,0.03,80022,stress-ng,80.015,263.68797500000073,3.2954817846653843,57
126,0.03,80026,stress-ng,80.017,331.331400000014,4.140762587950236,151
127,0.03,80022,stress-ng,80.013,280.61517500000303,3.507119780535701,511
128,0.03,80023,stress-ng,80.021,331.16355000000385,4.138458029767234,15
129,0.03,80022,stress-ng,80.011,281.94527499999964,3.523831410681027,171
130,0.03,80025,stress-ng,80.002,192.35172499999055,2.4043364540885297,43
