,period,load,experiment,power_mean,power_std,energy_mean,energy_std,duration_mean,runs
45,0.2,20,stress-ng,3.244716985148556,0.0116692364697904,259.70473999999194,0.9037253947923516,80.0393,10
46,0.2,40,stress-ng,3.459599327362354,0.0035993912207815263,276.9132599999897,0.32277069371595263,80.042,10
47,0.2,60,stress-ng,3.7009063648433367,0.009681587871120365,296.1831424999945,0.7657313699845664,80.0299,10
48,0.2,80,stress-ng,3.9038995083415444,0.0035612405437535854,312.3947199999985,0.2825474674474633,80.0212,10
49,0.2,100,stress-ng,4.090273500899741,0.0024525454048651397,327.3028675000038,0.19655455209968178,80.0198,10
50,0.5,0,sleep,2.360178613406989,0.012332136307730598,188.83397714286272,0.9862597517850465,80.00834285714285,35
51,0.5,0,stress-ng,2.3579206984157386,0.0026955291664486777,188.67916750000597,0.2196722732746437,80.0193,10
52,0.5,20,stress-ng,3.2189910996377016,0.02044178416341552,257.716294999988,1.6576538893621804,80.0612,10
53,0.5,40,stress-ng,3.4412127850737866,0.007217943525542085,275.4344324999894,0.6391495338915651,80.0399,10
54,0.5,60,stress-ng,3.6941599477707414,0.009565275873396865,295.62516749999367,0.7743256372529175,80.025,10
55,0.5,80,stress-ng,3.8934797050041916,0.007617220609279078,311.53717499999766,0.6150841766005335,80.0151,10
56,0.5,100,stress-ng,4.085567904399921,0.0030198316257291787,326.92306750000364,0.256129585815365,80.019,10
57,1.0,0,sleep,2.3584448884913356,0.0026018286174128878,188.69823500000598,0.2109820170407443,80.0096,35
58,1.0,0,stress-ng,2.358002260583999,0.0031986392536446843,188.68498250000644,0.2558610061177136,80.019,10
59,1.0,20,stress-ng,3.2147076921116415,0.01743307885328566,257.2210074999881,1.4010315427922733,80.0138,10
60,1.0,40,stress-ng,3.4421801555337126,0.009272050968883129,275.5436649999914,0.7070870207318113,80.0492,10
61,1.0,60,stress-ng,3.6962677466960527,0.011188942432260719,295.82158749999587,0.9116929702345816,80.0325,10
62,1.0,80,stress-ng,3.8904040945304224,0.007869391219882968,311.3074024999979,0.6248385234120732,80.0193,10
63,1.0,100,stress-ng,4.083584121667815,0.0016526760752292554,326.75003500000423,0.1627682739349182,80.0155,10
64,2.0,0,sleep,2.3591725427347123,0.0021343498951565216,188.75173285714854,0.17091236754912664,80.0076,35
65,2.0,0,stress-ng,2.3603594383209483,0.0031790249541757136,188.88423250000665,0.26218165035878116,80.0235,10
66,2.0,20,stress-ng,3.199522291212903,0.016903664852136624,256.033772499987,1.3539042437231608,80.02250000000001,10
67,2.0,40,stress-ng,3.440471852716294,0.010577129143081981,275.3345249999892,0.8862145951235492,80.0281,10
68,2.0,60,stress-ng,3.6966884202398824,0.007274913289089862,295.8242174999938,0.6133619868811687,80.0241,10
69,2.0,80,stress-ng,3.8932399134299933,0.007883430582061932,311.5413874999988,0.6577191472823226,80.0211,10
70,2.0,100,stress-ng,4.085518145777286,0.0017264145091911987,326.8990650000047,0.16286937514746497,80.0141,10
