,period,load,experiment,power_mean,power_std,energy_mean,energy_std,duration_mean,duration_std,loggings_mean,loggings_std,runs
42,0.05,15,stress-ng,3.341483817174689,0.024763395016442872,267.4452271428591,1.9658596668011914,80.0379142857143,0.05205674021373792,1600.2857142857142,0.95706132852322,35
43,0.05,20,stress-ng,3.4046706153130155,0.01857910872222414,272.56217000000095,1.518375139765381,80.05534285714286,0.05771478700173331,1600.6571428571428,1.1867617121159877,35
44,0.05,30,stress-ng,3.512801213782717,0.017029425904484103,281.15810857142606,1.3732354305635692,80.03814285714286,0.034642835484703496,1600.2857142857142,0.6673665793703983,35
45,0.05,40,stress-ng,3.629343595946397,0.017177836674420813,290.4815899999945,1.3835347175404926,80.03694285714286,0.02707173787544097,1600.2285714285715,0.4260429614980022,35
46,0.05,50,stress-ng,3.732591514744019,0.025737488668937655,298.7457985714267,2.068595288811787,80.03708571428572,0.016945190934251935,1600.2571428571428,0.44343957363116365,35
47,0.05,60,stress-ng,3.854055250209294,0.015872574164326646,308.4567442857129,1.2900513204155222,80.03431428571429,0.013505492191243782,1600.1714285714286,0.38238526043109583,35
48,0.05,70,stress-ng,3.9641037695663663,0.02110110256501273,317.261146428569,1.6873523437164757,80.03351428571429,0.008664910401664323,1600.0,0.0,35
49,0.05,80,stress-ng,4.070129852452882,0.018814184535421434,325.73098642857326,1.5071538351517952,80.02962857142857,0.0048874732692887396,1600.0,0.0,35
50,0.05,90,stress-ng,4.174801192212863,0.018891893167373813,334.0948978571463,1.509909332390013,80.02654285714286,0.0032115861679679935,1600.0,0.0,35
51,0.05,100,stress-ng,4.2919123970718,0.030408489278940236,343.4570950000104,2.43251265517343,80.02425714285715,0.002048569904947126,1600.0,0.0,35
52,0.1,0,stress-ng,2.469142670313982,0.01958356395487725,197.59462500000828,1.5673592917377892,80.02560000000001,0.0006507913734515138,800.0,0.0,35
53,0.1,5,stress-ng,3.1380398639694747,0.032168536073763555,251.15050928573578,2.596579281007903,80.03414285714287,0.04768656418071068,800.1142857142858,0.4710082159535996,35
54,0.1,10,stress-ng,3.252673246373144,0.022096665076845615,260.3627500000089,1.8741749140375752,80.0456,0.08571642714411999,800.2,0.7592566023652958,35
55,0.1,15,stress-ng,3.3295178377291235,0.020376457930015697,266.50268500000453,1.6099317397623256,80.04248571428572,0.06151344732398283,800.1714285714286,0.513678446324654,35
56,0.1,20,stress-ng,3.3880158491257175,0.014728483818979291,271.17114928571647,1.2080225582422939,80.03831428571428,0.05063698452397321,800.1428571428571,0.4936572484949436,35
57,0.1,30,stress-ng,3.4979314899994893,0.016727665304205684,280.0069549999976,1.3568467999853988,80.04928571428572,0.0469170553640528,800.1428571428571,0.3550358012483655,35
58,0.1,40,stress-ng,3.6086755381169504,0.01703472710636116,288.82634785713736,1.3710604440054368,80.03665714285714,0.025334169969966094,800.0,0.0,35
59,0.1,50,stress-ng,3.7162949202049242,0.025552604458848632,297.4378464285695,2.0526847495593574,80.03611428571429,0.018640202328759053,800.0,0.0,35
60,0.1,60,stress-ng,3.8361942778452844,0.016050206721898247,307.04205642857073,1.2787116712874849,80.0382,0.013546868533310717,800.0,0.0,35
61,0.1,70,stress-ng,3.944218637141452,0.01934189656065986,315.648845714285,1.5513909414030624,80.02822857142857,0.007878062296419871,800.0,0.0,35
62,0.1,80,stress-ng,4.048570640708984,0.021175828283015893,323.99891785714414,1.6991847087336047,80.02797142857143,0.005425894961613078,800.0,0.0,35
63,0.1,90,stress-ng,4.158336211022261,0.019038278913615803,332.7774050000026,1.5270447506948608,80.02657142857143,0.0027470381299499664,800.0,0.0,35
64,0.1,100,stress-ng,4.270006936796686,0.027781289669888683,341.7040192857291,2.2245243782470063,80.02422857142857,0.002377414738812816,800.0,0.0,35
